base_bid,Clicks,CTR,Spend,aCPM,aCPC
20,65,0.0012931463244802547,1845.55,36.71640306376206,28.393076923076922
21,65,0.0012122568492511983,1984.905,37.01868740558384,30.537
22,66,0.0011575495027798728,2131.028,37.37530911833312,32.28830303030303
23,68,0.0011252316653428648,2285.99,37.82747550966375,33.6175
24,69,0.0010792210839133496,2448.392,38.2950183780402,35.4839420289855
25,71,0.0010533499495578896,2613.292,38.77057741380333,36.806929577464786
26,74,0.0010433850795933618,2789.012,39.32450685955191,37.689351351351355
27,75,0.0010061441871696494,2976.663,39.932695661506266,39.68884
28,75,0.0009595823897439835,3171.645,40.57939584692741,42.2886
29,79,0.0009663372149916822,3370.199,41.22466728642724,42.66074683544304
30,80,0.000937097340986295,3576.222,41.89085158720862,44.702775
31,81,0.0009083365106421154,3796.321,42.57206136317761,46.86816049382716
32,84,0.000903429806730552,4024.0,43.27858978909216,47.904761904761905
33,84,0.000869304246137288,4248.378,43.96586945947904,50.57592857142857
34,87,0.0008679516341434215,4470.682,44.60156031765034,51.387149425287355
35,89,0.0008569805398014501,4698.087,45.23785543027164,52.78749438202248
36,95,0.0008832197543719378,4939.836,45.925902511133216,51.99827368421053
37,102,0.0009160881240850346,5187.616,46.591307940328534,50.858980392156866
38,109,0.0009472906617998523,5440.928,47.28569069656281,49.91677064220183
39,114,0.0009604691133353554,5697.07,47.998769925521515,49.97429824561403
40,116,0.0009473409120606298,5959.372,48.66859401541879,51.373896551724144
41,116,0.0009211247250522103,6202.198,49.24998213335663,53.46722413793104
42,114,0.0009091634101602999,6250.0,49.8444852061568,54.824561403508774
43,103,0.000831510200127552,6250.0,50.45571602715729,60.679611650485434
44,104,0.0008474231004277857,6250.0,50.926869016092894,60.09615384615385
45,105,0.0008659508139937652,6250.0,51.54469130915269,59.523809523809526
46,106,0.0008831272703035958,6250.0,52.07118339054221,58.9622641509434
47,104,0.0008757673490353928,6250.0,52.63024934106928,60.09615384615385
48,104,0.000885053656377918,6250.0,53.188320695788335,60.09615384615385
49,101,0.0008680853989754873,6250.0,53.718155877196,61.881188118811885
50,100,0.0008677843729390122,6250.0,54.236523308688255,62.5
51,101,0.000884614710879885,6250.0,54.741009336626554,61.881188118811885
52,97,0.0008575192057780882,6250.0,55.25252614549537,64.43298969072166
53,96,0.0008558819596130701,6250.0,55.72148174564258,65.10416666666667
54,94,0.0008452097289034752,6250.0,56.19745537922043,66.48936170212765
55,91,0.0008254267728534368,6250.0,56.691399234439345,68.68131868131869
56,88,0.0008051014153316927,6250.0,57.18049824798953,71.02272727272727
57,88,0.0008109702152757299,6250.0,57.597316425833085,71.02272727272727
58,87,0.0008074395812451275,6250.0,58.005717043471805,71.83908045977012
59,84,0.0007854578096947936,6250.0,58.4418013165769,74.4047619047619
60,84,0.0007910572857317751,6250.0,58.858428997899935,74.4047619047619
61,85,0.0008056566575674856,6250.0,59.23946011525629,73.52941176470588
62,82,0.0007825846288926427,6250.0,59.64821866559777,76.21951219512195
63,80,0.0007683220806161943,6250.0,60.02516254814018,78.125
64,80,0.000772424447233755,6250.0,60.345659940137104,78.125
65,78,0.000757715584655288,6250.0,60.714389796096796,80.12820512820512
66,78,0.0007621653312487786,6250.0,61.07094000390854,80.12820512820512
67,78,0.0007664416472599711,6250.0,61.413593530446406,80.12820512820512
68,78,0.0007709261986419838,6250.0,61.7729325834923,80.12820512820512
69,80,0.000794888864600618,6250.0,62.100692546923284,78.125
70,78,0.0007788084231126377,6250.0,62.4045210827434,80.12820512820512
71,74,0.0007426438119706154,6250.0,62.723294929950626,84.45945945945945
72,74,0.0007466677429444943,6250.0,63.06315396490661,84.45945945945945
73,74,0.0007507279017155147,6250.0,63.40607278002658,84.45945945945945
74,73,0.0007442448463593173,6250.0,63.719593010215526,85.61643835616438
75,72,0.0007374782341493393,6250.0,64.01720782546349,86.80555555555556
76,72,0.0007408931878987446,6250.0,64.31364478287715,86.80555555555556
77,72,0.0007438861854136317,6250.0,64.57345359493331,86.80555555555556
78,71,0.0007369961696959631,6250.0,64.87642338872915,88.02816901408451
79,70,0.000729599866587453,6250.0,65.14284523102258,89.28571428571429
