constant, lambda, clicks, CTR, spend, CPM, CPC
15,1.2999999999999998e-06,67,0.048%,4707342,33821.242536804064,70258.83582089552
15,1.4e-06,66,0.049%,4449040,32963.66546144272,67409.69696969698
15,1.5e-06,63,0.053%,3630712,30275.864944421744,57630.34920634921
15,1.6e-06,60,0.052%,3329654,29116.565812025605,55494.23333333333
15,1.6999999999999998e-06,51,0.049%,2826352,26991.93016970519,55418.666666666664
15,1.8e-06,50,0.049%,2656567,26214.13840400233,53131.34
15,1.9e-06,49,0.050%,2503251,25407.26719106826,51086.755102040814
15,2e-06,46,0.048%,2372128,24781.42955642381,51568.0
15,2.1e-06,44,0.047%,2290367,24339.71307120085,52053.795454545456
15,2.2e-06,42,0.046%,2193700,23837.051364243882,52230.95238095238
15,2.3e-06,42,0.046%,2118822,23427.412043077333,50448.142857142855
15,2.4e-06,41,0.047%,2014314,22889.15150619865,49129.60975609756
15,2.4999999999999998e-06,40,0.046%,1966819,22619.33458305061,49170.475
15,2.5999999999999997e-06,39,0.046%,1898663,22254.216627401336,48683.666666666664
15,2.7e-06,39,0.046%,1872727,22091.599721602906,48018.64102564102
15,2.8e-06,39,0.047%,1810563,21759.482261321027,46424.692307692305
15,2.8999999999999998e-06,39,0.048%,1737870,21380.748505204105,44560.769230769234
20,1e-07,52,0.064%,6250,76.94296371985375,120.1923076923077
20,2e-07,59,0.064%,6250,67.3476864722743,105.9322033898305
20,3e-07,55,0.054%,6250,61.857914843920106,113.63636363636364
20,4e-07,63,0.057%,6250,56.522210968021994,99.2063492063492
20,5e-07,65,0.055%,6250,53.35814842956297,96.15384615384616
20,6e-07,68,0.056%,6250,51.327113855857036,91.91176470588235
20,7e-07,75,0.059%,6250,49.49985348043369,83.33333333333333
20,8e-07,75,0.058%,6250,48.33495738790157,83.33333333333333
20,9e-07,77,0.058%,6250,47.342746333777725,81.16883116883118
20,1e-06,78,0.058%,6250,46.496403038260965,80.12820512820512
20,1.1e-06,79,0.057%,6250,45.04569435235103,79.11392405063292
20,1.2e-06,81,0.057%,6250,43.82950672519951,77.1604938271605
20,1.2999999999999998e-06,83,0.056%,6250,41.91002420722998,75.3012048192771
20,1.4e-06,77,0.049%,6250,39.770919503658924,81.16883116883118
20,1.5e-06,84,0.052%,6175331,38385.895881895885,73515.84523809524
20,1.6e-06,67,0.048%,4654156,33679.6416502037,69465.01492537314
20,1.6999999999999998e-06,65,0.049%,4283154,32492.690735023025,65894.67692307693
20,1.8e-06,63,0.053%,3638978,30334.16970232488,57761.555555555555
20,1.9e-06,61,0.053%,3343158,29213.960519761964,54805.86885245902
20,2e-06,51,0.048%,2921672,27529.95938828008,57287.686274509804
20,2.1e-06,50,0.049%,2705337,26508.877653007232,54106.74
20,2.2e-06,50,0.051%,2541923,25732.393225555003,50838.46
20,2.3e-06,49,0.050%,2483562,25434.083996436144,50684.93877551021
20,2.4e-06,47,0.049%,2361185,24814.61435792881,50237.97872340425
20,2.4999999999999998e-06,46,0.050%,2251740,24256.075491209926,48950.86956521739
20,2.5999999999999997e-06,44,0.048%,2160536,23792.877122657093,49103.09090909091
20,2.7e-06,43,0.048%,2090351,23412.38071770978,48612.813953488374
20,2.8e-06,42,0.048%,2016844,23013.61297169004,48020.09523809524
20,2.8999999999999998e-06,42,0.048%,2005048,22925.576555871896,47739.23809523809
25,1e-07,51,0.064%,6250,78.28352413637617,122.54901960784314
25,2e-07,57,0.064%,6250,70.25155677449813,109.64912280701755
25,3e-07,57,0.059%,6250,64.38917849710505,109.64912280701755
25,4e-07,59,0.056%,6250,59.57884903196286,105.9322033898305
25,5e-07,63,0.056%,6250,55.71204449832418,99.2063492063492
25,6e-07,65,0.055%,6250,53.15936753110886,96.15384615384616
25,7e-07,68,0.056%,6250,51.34651090189119,91.91176470588235
25,8e-07,72,0.058%,6250,49.91414766601446,86.80555555555556
25,9e-07,75,0.058%,6250,48.69649229426705,83.33333333333333
25,1e-06,76,0.058%,6250,47.54370217103562,82.23684210526316
25,1.1e-06,77,0.058%,6250,46.78108696791192,81.16883116883118
25,1.2e-06,79,0.058%,6250,46.113550005533625,79.11392405063292
25,1.2999999999999998e-06,81,0.058%,6250,44.88298109169773,77.1604938271605
