constant, lambda, clicks, CTR, spend, CPM, CPC
30,4.6e-06,37,0.042%,1934.722,21950.057861178553,52289.78378378379
30,4.7e-06,37,0.042%,1891.631,21713.434651851512,51125.16216216216
30,4.8e-06,37,0.043%,1866.119,21572.133724828338,50435.64864864865
30,4.9e-06,37,0.043%,1848.469,21470.85675788691,49958.62162162162
31,2e-06,77,0.047%,6170.153,37861.132246821464,80131.85714285714
31,2.1e-06,63,0.043%,5048.367,34363.671635695326,80132.80952380953
31,2.2e-06,62,0.043%,4878.987,33820.085538218395,78693.33870967742
31,2.3e-06,61,0.043%,4755.156,33426.98674914766,77953.37704918033
31,2.4e-06,60,0.044%,4397.481,32320.397768615087,73291.35
31,2.4999999999999998e-06,59,0.044%,4212.055,31614.202187145827,71390.7627118644
31,2.5999999999999997e-06,58,0.044%,4140.606,31367.27674918942,71389.75862068965
31,2.7e-06,57,0.045%,3838.652,30339.79861209908,67344.77192982456
31,2.8e-06,56,0.045%,3736.971,29976.34441378425,66731.625
31,2.8999999999999998e-06,56,0.048%,3387.94,28765.96250509442,60498.92857142857
31,3e-06,54,0.047%,3180.097,27935.285229888086,58890.68518518518
31,3.1e-06,51,0.046%,3027.666,27263.98919405673,59366.0
31,3.2e-06,45,0.043%,2657.685,25636.750364146737,59059.666666666664
31,3.2999999999999997e-06,44,0.043%,2630.025,25485.232271943252,59773.295454545456
31,3.3999999999999996e-06,43,0.042%,2548.805,25099.75676287827,59274.53488372093
31,3.5e-06,43,0.043%,2486.945,24800.751917189384,57835.93023255814
31,3.6e-06,43,0.044%,2395.901,24337.457463558334,55718.62790697674
31,3.6999999999999997e-06,43,0.044%,2346.257,24087.644371438837,54564.11627906977
31,3.8e-06,42,0.044%,2303.291,23868.547860599592,54840.26190476191
31,3.9e-06,41,0.043%,2262.421,23655.34655639318,55181.0
31,4e-06,38,0.040%,2213.383,23412.62772641689,58246.92105263158
31,4.1e-06,38,0.041%,2153.541,23110.13456957054,56672.13157894737
31,4.2e-06,38,0.041%,2144.587,23053.38235136036,56436.5
31,4.2999999999999995e-06,37,0.041%,2070.077,22682.295319074336,55948.02702702703
31,4.4e-06,37,0.041%,2061.889,22628.529724865286,55726.72972972973
31,4.5e-06,37,0.041%,1999.581,22306.296155819815,54042.72972972973
31,4.6e-06,37,0.042%,1971.821,22153.798620317728,53292.45945945946
31,4.7e-06,37,0.042%,1937.903,21978.91597010355,52375.75675675676
31,4.8e-06,37,0.042%,1895.435,21748.362075889527,51227.97297297297
31,4.9e-06,37,0.043%,1871.143,21619.71391597726,50571.43243243243
32,2e-06,79,0.049%,6250.0,38396.08789939611,79113.92405063291
32,2.1e-06,77,0.047%,6171.364,37867.168996281616,80147.58441558441
32,2.2e-06,63,0.043%,5013.674,34269.346967232166,79582.12698412698
32,2.3e-06,61,0.043%,4835.651,33691.811936513244,79272.96721311475
32,2.4e-06,61,0.043%,4756.476,33434.385609750956,77975.01639344262
32,2.4999999999999998e-06,60,0.044%,4396.782,32325.71407565342,73279.7
32,2.5999999999999997e-06,59,0.044%,4211.245,31621.65104823692,71377.03389830509
32,2.7e-06,58,0.044%,4121.271,31306.89526819152,71056.39655172414
32,2.8e-06,57,0.045%,3842.782,30365.481110382378,67417.22807017544
32,2.8999999999999998e-06,56,0.045%,3736.188,29979.682886121453,66717.64285714286
32,3e-06,56,0.048%,3374.16,28723.589001447177,60252.857142857145
32,3.1e-06,54,0.047%,3184.338,27964.67901993501,58969.22222222222
32,3.2e-06,51,0.046%,3029.005,27273.345278720702,59392.25490196078
32,3.2999999999999997e-06,45,0.043%,2660.256,25657.34346668724,59116.8
32,3.3999999999999996e-06,44,0.043%,2634.069,25517.24839431544,59865.204545454544
32,3.5e-06,44,0.043%,2551.716,25122.238412160834,57993.545454545456
32,3.6e-06,43,0.043%,2492.156,24842.8082976963,57957.11627906977
32,3.6999999999999997e-06,43,0.044%,2397.588,24350.88360755637,55757.86046511628
32,3.8e-06,43,0.044%,2350.906,24125.2180694949,54672.232558139534
32,3.9e-06,42,0.044%,2308.01,23908.0352610916,54952.619047619046
32,4e-06,42,0.044%,2265.837,23684.377221223396,53948.5
32,4.1e-06,39,0.041%,2216.743,23440.978353971255,56839.5641025641
32,4.2e-06,38,0.041%,2157.432,23141.459647316256,56774.52631578947
32,4.2999999999999995e-06,38,0.041%,2147.742,23081.342489602477,56519.52631578947
32,4.4e-06,37,0.040%,2077.386,22735.476951363657,56145.56756756757
32,4.5e-06,37,0.041%,2066.982,22673.723700664752,55864.37837837838
32,4.6e-06,37,0.041%,2004.027,22343.18174216494,54162.89189189189
32,4.7e-06,37,0.042%,1975.708,22187.996945330397,53397.51351351351
32,4.8e-06,37,0.042%,1941.649,22014.160997732426,52477.0
32,4.9e-06,37,0.042%,1899.668,21787.93196389453,51342.37837837838
