c,Clicks,CTR,Spend,aCPM,aCPC
35,89,0.0006293533217834034,5095.559,36.032662730262,57.25347191011236
36,92,0.0006329244549626093,5368.373,36.932332120228125,58.35188043478261
37,101,0.0006768302898307924,5644.351,37.82443290333389,55.88466336633663
38,103,0.0006804743500809302,5785.243,38.22048029597331,56.167407766990294
39,106,0.0006901490982485839,5923.088,38.56428152874536,55.878188679245284
40,106,0.0006814660520614348,6044.293,38.85830649257137,57.02163207547169
41,108,0.0006868699716984132,6150.217,39.11480904378796,56.9464537037037
42,109,0.0006867569321496752,6249.988,39.378188851855825,57.339339449541285
43,107,0.0006785422123012728,6250.0,39.63447501759771,58.41121495327103
44,107,0.0006834265859329092,6250.0,39.91977721570731,58.41121495327103
45,101,0.0006495218618769252,6250.0,40.19318452208696,61.881188118811885
46,99,0.0006422815918203169,6250.0,40.54808029168667,63.13131313131313
47,97,0.0006355196519710937,6250.0,40.94843118370449,64.43298969072166
48,100,0.000658635702006863,6250.0,41.164731375428936,62.5
49,99,0.0006548831794247612,6250.0,41.34363506469452,63.13131313131313
