bidprice,clicks, CTR, spend, avgCPM, avgCPC
1,0,0.000%,0.2910000000000002,0,0,
2,0,0.000%,1.2469999999999941,0,0,
3,0,0.000%,1.522999999999986,0,0,
4,0,0.000%,6.454999999999755,0,0,
5,0,0.000%,34.73999999999979,0,0,
6,4,0.042%,45.48600000000312,4.726309226932993,11.37150000000078,
7,4,0.036%,55.83900000000417,5.029181302351092,13.959750000001042,
8,4,0.032%,65.99900000000537,5.3341146043809395,16.49975000000134,
9,4,0.029%,78.01400000000174,5.691129267581102,19.503500000000436,
10,4,0.024%,105.274000000001,6.405865887793659,26.31850000000025,
11,4,0.022%,128.4729999999966,6.92838267809937,32.11824999999915,
12,5,0.025%,150.37299999998828,7.382806362921656,30.074599999997655,
13,5,0.023%,169.9119999999877,7.768826299665663,33.98239999999754,
14,5,0.021%,192.5639999999864,8.198050151133994,38.512799999997284,
15,6,0.024%,216.09899999997512,8.62395243036057,36.01649999999585,
16,8,0.029%,250.9789999999631,9.214296203831525,31.372374999995387,
17,9,0.030%,291.6939999999562,9.843552795867991,32.41044444443958,
18,10,0.031%,332.139999999943,10.41844416561929,33.2139999999943,
19,10,0.030%,363.50899999994533,10.840982970980447,36.35089999999453,
20,13,0.028%,636.1289999998072,13.488168440689691,48.93299999998517,
21,13,0.026%,715.4669999997578,14.04528857478912,55.035923076904446,
22,13,0.023%,815.9409999997903,14.699785612621657,62.76469230767618,
23,14,0.025%,849.0379999998094,14.909528325076552,60.64557142855781,
24,15,0.026%,893.0059999998047,15.192861274623237,59.53373333332031,
25,16,0.026%,934.6559999997784,15.463172523323712,58.41599999998615,
26,16,0.026%,960.1359999997583,15.631284188586843,60.00849999998489,
27,16,0.025%,997.9089999997753,15.884453146137169,62.36931249998596,
28,18,0.028%,1031.3129999997939,16.11023806548041,57.29516666665521,
29,18,0.028%,1062.284999999797,16.321753426338226,59.01583333332206,
30,19,0.028%,1163.0849999997456,16.993235345680343,61.21499999998661,
31,24,0.033%,1328.25299999962,18.004839234392723,55.343874999984166,
32,24,0.032%,1381.5969999996132,18.314094831580658,57.56654166665055,
33,24,0.031%,1451.7219999995652,18.716440616775376,60.488416666648554,
34,24,0.030%,1510.4739999996084,19.049513191742022,62.93641666665035,
35,24,0.030%,1536.75899999962,19.199167947223618,64.03162499998417,
36,24,0.029%,1602.3149999996238,19.57288918205345,66.76312499998433,
37,25,0.030%,1646.4189999996524,19.822998940469713,65.8567599999861,
38,27,0.032%,1706.382999999676,20.16190892548711,63.19937037035837,
39,27,0.032%,1741.7559999996668,20.361651138046863,64.50948148146914,
40,28,0.032%,1837.9959999996177,20.898905022338653,65.64271428570063,
41,28,0.031%,1891.213999999603,21.191260014562193,67.54335714284296,
42,29,0.032%,1977.6079999995284,21.660073163780954,68.19337931032857,
43,31,0.034%,2023.0159999994755,21.904068949083733,65.25858064514438,
44,31,0.033%,2103.447999999577,22.33291571995389,67.85316129030893,
45,31,0.032%,2179.452999999657,22.732234680570087,70.30493548385991,
46,32,0.033%,2230.9729999997003,23.000907263257904,69.71790624999063,
47,33,0.033%,2314.820999999766,23.43434333208239,70.14609090908382,
48,35,0.035%,2364.4049999997505,23.688584538930694,67.55442857142144,
49,37,0.036%,2459.3669999997373,24.170683046680466,66.46937837837127,
50,43,0.037%,3146.517000000476,27.24422259358122,73.17481395349944,
51,46,0.039%,3269.835000000472,27.731382144163582,71.08336956522766,
52,48,0.039%,3535.607000000829,28.739631935758066,73.65847916668393,
53,48,0.039%,3591.3100000008567,28.945137137014957,74.81895833335118,
54,48,0.038%,3641.6380000009367,29.131938722458596,75.86745833335284,
55,49,0.037%,4070.418000000634,30.650507149800333,83.06975510205376,
56,49,0.037%,4150.218000000772,30.919628089943615,84.698326530628,
57,49,0.036%,4225.857000000808,31.174942642367245,86.24197959185322,
58,49,0.036%,4300.503000000934,31.427236188255872,87.76536734695783,
59,49,0.035%,4418.26700000132,31.82364084244231,90.16871428574123,
60,51,0.036%,4550.807000001545,32.26492963239778,89.23150980395187,
61,52,0.036%,4650.664000001731,32.59460899063464,89.43584615387945,
62,53,0.037%,4709.874000001739,32.7901167526594,88.86554716984412,
63,53,0.037%,4800.279000001977,33.08894204258559,90.57130188682974,
64,53,0.036%,4911.959000002146,33.45633680024893,92.6784716981537,
65,55,0.037%,4970.849000002238,33.64979725568963,90.37907272731343,
66,56,0.038%,5076.713000002226,33.99728783141847,90.65558928575403,
67,57,0.038%,5204.013000002399,34.41193040926818,91.29847368425261,
68,57,0.037%,5284.049000002661,34.671327524229426,92.7026140351344,
69,58,0.038%,5352.566000002809,34.89355072134924,92.2856206897036,
70,65,0.040%,6250,38.531250385312504,96.15384615384616,
71,64,0.040%,6250,38.756325032245265,97.65625,
72,63,0.039%,6250,38.91825920183321,99.2063492063492,
73,63,0.040%,6250,39.85689779415985,99.2063492063492,
74,63,0.040%,6250,40.0576830636116,99.2063492063492,
75,63,0.041%,6250,40.2304399600914,99.2063492063492,
76,61,0.040%,6250,40.76494605982337,102.45901639344262,
77,68,0.046%,6250,42.55608892520342,91.91176470588235,
78,67,0.046%,6250,42.716933675980094,93.28358208955224,
79,68,0.047%,6250,42.8325692002988,91.91176470588235,
