basebid,clicks, CTR, spend, avgCPM, avgCPC
1,4,0.431%,5.3709999999999765,5.7814854682454,1.3427499999999941,
2,4,0.250%,14.899000000000049,9.329367564182874,3.724750000000012,
3,5,0.186%,35.46900000000017,13.224832214765165,7.0938000000000345,
4,9,0.252%,65.66000000000052,18.361297539150037,7.295555555555613,
5,13,0.237%,106.74899999999991,19.469086266642332,8.211461538461531,
6,15,0.200%,148.78199999999845,19.84818569903928,9.918799999999896,
7,17,0.172%,191.72799999999248,19.364508635490605,11.27811764705838,
8,20,0.172%,232.57799999998798,19.984361574152604,11.6288999999994,
9,22,0.155%,280.1489999999801,19.79152243023526,12.73404545454455,
10,24,0.155%,319.5039999999759,20.575991756824827,13.312666666665663,
11,26,0.150%,358.92399999996974,20.760252183467507,13.804769230768066,
12,29,0.158%,391.38799999996667,21.361641742166064,13.496137931033333,
13,34,0.173%,436.5779999999603,22.259623718959887,12.840529411763539,
14,36,0.170%,475.16399999995923,22.445158242794484,13.198999999998868,
15,37,0.163%,515.6429999999569,22.762680439674963,13.936297297296134,
16,38,0.157%,556.5629999999503,23.060410192664193,14.646394736840797,
17,40,0.156%,599.1539999999392,23.351547275701115,14.978849999998479,
18,41,0.151%,634.7689999999301,23.368023855099768,15.482170731705612,
19,42,0.148%,665.7059999999263,23.492465680909284,15.850142857141103,
20,43,0.146%,700.53999999992,23.801984234843708,16.291627906974885,
21,44,0.144%,731.0049999999179,23.98310367453799,16.613749999998134,
22,45,0.141%,769.7709999999121,24.180021988374808,17.10602222222027,
23,45,0.137%,796.3329999999083,24.325910312802677,17.69628888888685,
24,47,0.135%,859.740999999889,24.7421722113471,18.292361702125298,
25,50,0.135%,920.2629999999016,24.772214595275823,18.40525999999803,
26,50,0.126%,992.3769999999133,24.935975073495822,19.847539999998265,
27,52,0.123%,1054.937999999913,25.024029224088835,20.287269230767556,
28,52,0.119%,1096.1079999999347,25.10266804076342,21.078999999998743,
29,53,0.118%,1133.1379999999401,25.24986073043965,21.379962264149814,
30,55,0.114%,1343.3710000000137,27.764203782164177,24.424927272727523,
31,58,0.113%,1502.9130000000534,29.38246334310955,25.912293103449198,
32,59,0.113%,1547.9730000000643,29.53414229294382,26.236830508475666,
33,60,0.112%,1607.4610000000812,30.03870087642407,26.79101666666802,
34,67,0.111%,2037.7560000000315,33.82897554659149,30.41426865671689,
