c, lambda, clicks, CTR, spend, avgCPM, avgCPC
60,4e-06,46,0.051%,2219.0549999997347,24.513985550470988,48.24032608695075,
60,4.1e-06,46,0.051%,2192.9549999997316,24.380253035083953,47.67293478260286,
60,4.2e-06,46,0.052%,2129.0289999997167,24.09412310582163,46.283239130428626,
60,4.2999999999999995e-06,46,0.053%,2092.4739999996905,23.93176645507738,45.488565217384576,
60,4.4e-06,46,0.053%,2070.011999999688,23.81952499309224,45.00026086955844,
60,4.5e-06,45,0.052%,2024.5049999996536,23.585458485264553,44.9889999999923,
60,4.6e-06,45,0.053%,1990.1749999996107,23.42512270624196,44.22611111110246,
60,4.7e-06,45,0.053%,1953.8119999995997,23.224001236192034,43.41804444443555,
60,4.8e-06,45,0.055%,1888.3859999996248,22.936790963192333,41.964133333324995,
60,4.9e-06,45,0.055%,1879.666999999623,22.85559514110508,41.7703777777694,
62,1e-06,65,0.056%,6250,53.387774626712684,96.15384615384616,
62,1.1e-06,67,0.056%,6250,52.116774930580455,93.28358208955224,
62,1.2e-06,68,0.056%,6250,51.07794903646557,91.91176470588235,
62,1.2999999999999998e-06,71,0.057%,6250,50.08654955763559,88.02816901408451,
62,1.4e-06,74,0.058%,6250,49.07503376362323,84.45945945945945,
62,1.5e-06,75,0.058%,6250,48.343182451038025,83.33333333333333,
62,1.6e-06,76,0.058%,6250,47.65608320370879,82.23684210526316,
62,1.6999999999999998e-06,77,0.058%,6250,46.92403561721999,81.16883116883118,
62,1.8e-06,79,0.059%,6250,46.5434939642397,79.11392405063292,
62,1.9e-06,80,0.059%,6250,46.05069260241674,78.125,
62,2e-06,82,0.059%,6250,44.95141650903704,76.21951219512195,
62,2.1e-06,84,0.059%,6250,44.22743516258005,74.4047619047619,
62,2.2e-06,84,0.059%,6250,43.58681097969203,74.4047619047619,
62,2.3e-06,86,0.058%,6250,41.81888741686405,72.67441860465117,
62,2.4e-06,81,0.052%,6250,39.8696104260626,77.1604938271605,
62,2.4999999999999998e-06,82,0.052%,6250,39.541195599223094,76.21951219512195,
62,2.5999999999999997e-06,85,0.054%,5947.473000002532,38.104797478264835,69.97027058826508,
62,2.7e-06,72,0.051%,4930.738000002463,35.043339208568796,68.48247222225643,
62,2.8e-06,68,0.051%,4385.885000001584,33.109015007409965,64.4983088235527,
62,2.8999999999999998e-06,68,0.055%,3901.5070000007004,31.661908394474295,57.37510294118677,
62,3e-06,64,0.053%,3700.2390000007476,30.90434470317666,57.81623437501168,
62,3.1e-06,64,0.055%,3543.112000000589,30.36085689803418,55.3611250000092,
62,3.2e-06,53,0.050%,2962.6280000000106,27.959607780221123,55.898641509434164,
62,3.2999999999999997e-06,53,0.051%,2872.931999999966,27.586414833449833,54.20626415094276,
62,3.3999999999999996e-06,52,0.051%,2728.1829999999027,26.888981973368118,52.46505769230582,
62,3.5e-06,52,0.052%,2631.37899999983,26.429285979729716,50.603442307689036,
62,3.6e-06,50,0.051%,2520.4869999998123,25.922402089845036,50.40973999999625,
62,3.6999999999999997e-06,49,0.051%,2451.517999999752,25.602518981125943,50.03097959183168,
62,3.8e-06,49,0.052%,2357.3239999997445,25.18212603219434,48.10865306121928,
62,3.9e-06,47,0.051%,2311.6639999997356,24.95885293514004,49.18434042552629,
62,4e-06,47,0.051%,2255.9759999997586,24.67759084643898,47.999489361696995,
62,4.1e-06,46,0.051%,2196.2939999997343,24.411403801264136,47.74552173912466,
62,4.2e-06,46,0.052%,2167.4279999997125,24.27375659360644,47.11799999999375,
62,4.2999999999999995e-06,46,0.053%,2094.8989999996884,23.955939529774135,45.54128260868888,
62,4.4e-06,46,0.053%,2074.764999999691,23.848695932040084,45.103586956515024,
62,4.5e-06,46,0.053%,2056.819999999666,23.76013677424931,44.7134782608623,
62,4.6e-06,45,0.053%,1994.9849999996102,23.47179245837532,44.33299999999134,
62,4.7e-06,45,0.053%,1964.5069999996006,23.304036821309868,43.655711111102235,
62,4.8e-06,45,0.054%,1919.701999999636,23.09638220820814,42.66004444443635,
62,4.9e-06,45,0.055%,1886.2009999996233,22.92333774898367,41.91557777776941,
64,1e-06,63,0.054%,6250,53.71538580538701,99.2063492063492,
64,1.1e-06,67,0.056%,6250,52.38893545683151,93.28358208955224,
64,1.2e-06,68,0.056%,6250,51.36972227473349,91.91176470588235,
64,1.2999999999999998e-06,71,0.057%,6250,50.17098270907252,88.02816901408451,
64,1.4e-06,75,0.059%,6250,49.23818677422913,83.33333333333333,
64,1.5e-06,75,0.058%,6250,48.51655773082238,83.33333333333333,
64,1.6e-06,76,0.058%,6250,47.77045722060015,82.23684210526316,
64,1.6999999999999998e-06,77,0.058%,6250,47.091621458710065,81.16883116883118,
64,1.8e-06,77,0.058%,6250,46.6902234407333,81.16883116883118,
64,1.9e-06,80,0.059%,6250,46.17419121286672,78.125,
64,2e-06,82,0.059%,6250,45.338478948437455,76.21951219512195,
64,2.1e-06,86,0.061%,6250,44.64158166909517,72.67441860465117,
64,2.2e-06,84,0.059%,6250,43.672088993236066,74.4047619047619,
64,2.3e-06,86,0.058%,6250,41.920987323093435,72.67441860465117,
64,2.4e-06,84,0.054%,6250,40.23795114790827,74.4047619047619,
64,2.4999999999999998e-06,82,0.052%,6250,39.56121861212915,76.21951219512195,
64,2.5999999999999997e-06,86,0.055%,5957.6450000025425,38.133076878780685,69.27494186049468,
64,2.7e-06,85,0.055%,5845.92100000261,37.83865601700115,68.77554117650129,
