base_bid,Clicks,CTR,Spend,aCPM,aCPC
1,7,0.0051508462104488595,11.369,1.624142857142857,0.0016241428571428572
2,10,0.0031918289179699967,42.033,4.2033000000000005,0.0042033
3,13,0.002301292264117543,95.24,7.326153846153845,0.007326153846153845
4,15,0.0017433751743375174,157.585,10.505666666666666,0.010505666666666667
5,18,0.0015112081269414827,234.646,13.035888888888888,0.013035888888888889
6,21,0.0013775911834164262,325.289,15.48995238095238,0.01548995238095238
7,24,0.0012890750886239124,425.212,17.717166666666667,0.017717166666666666
8,27,0.0012259910093992644,533.584,19.762370370370366,0.019762370370370368
9,29,0.0011356961033875074,647.6,22.331034482758625,0.022331034482758624
10,35,0.001209273399440279,759.413,21.697514285714288,0.021697514285714287
11,40,0.0012296341838303104,878.57,21.96425,0.02196425
12,44,0.0012186340220461972,997.215,22.663977272727273,0.022663977272727273
13,50,0.0012585265171537164,1119.055,22.3811,0.0223811
14,53,0.0012208043488275671,1245.153,23.49345283018868,0.02349345283018868
15,56,0.0011856117544936802,1374.995,24.553482142857142,0.02455348214285714
16,57,0.0011200848906443436,1507.149,26.441210526315786,0.026441210526315786
17,60,0.001098378061728847,1646.107,27.435116666666666,0.027435116666666665
18,60,0.0010293713972001099,1790.033,29.833883333333333,0.02983388333333333
19,63,0.001015146632291331,1940.766,30.805809523809522,0.030805809523809524
20,65,0.0009888789155801676,2094.933,32.22973846153846,0.03222973846153846
21,65,0.0009353594658377943,2262.185,34.802846153846154,0.034802846153846156
22,66,0.000899685110211426,2432.969,36.86316666666667,0.03686316666666667
23,67,0.0008683143038581667,2612.835,38.99753731343284,0.038997537313432834
24,70,0.000863760318850952,2797.934,39.970485714285715,0.039970485714285714
25,73,0.0008602403959462645,2987.168,40.9201095890411,0.0409201095890411
26,76,0.0008573233462683873,3179.806,41.839552631578954,0.04183955263157895
27,78,0.0008431794350697785,3379.991,43.33321794871795,0.04333321794871795
28,78,0.0008098258874342017,3582.96,45.93538461538461,0.045935384615384614
29,82,0.0008188536049530658,3790.931,46.230865853658536,0.046230865853658536
30,83,0.0007983839938437861,4004.954,48.25245783132531,0.048252457831325306
31,86,0.0007994050938836215,4212.032,48.97711627906976,0.04897711627906976
32,88,0.0007895846605234587,4431.546,50.35847727272727,0.05035847727272727
33,89,0.0007737582918198968,4640.151,52.13652808988763,0.052136528089887633
34,95,0.0008006472601007973,4854.958,51.10482105263157,0.051104821052631574
35,96,0.0007853531635007117,5072.882,52.84252083333333,0.05284252083333333
36,101,0.0008032958992142017,5288.603,52.36240594059406,0.05236240594059406
37,103,0.0007974172969876207,5500.342,53.40137864077669,0.053401378640776695
38,108,0.0008145410664454333,5715.329,52.91971296296296,0.05291971296296296
39,112,0.0008241778458051556,5926.916,52.91889285714286,0.05291889285714286
40,115,0.0008263928312218397,6139.859,53.39007826086957,0.05339007826086957
41,115,0.0008209184292618159,6250.0,54.34782608695652,0.05434782608695652
42,105,0.00075700772868843,6250.0,59.52380952380952,0.05952380952380952
43,103,0.0007503077718772991,6250.0,60.67961165048544,0.06067961165048544
44,101,0.0007429584458192037,6250.0,61.88118811881188,0.06188118811881188
45,101,0.0007503213009531309,6250.0,61.88118811881188,0.06188118811881188
46,99,0.0007422791719463459,6250.0,63.131313131313135,0.06313131313131314
47,97,0.0007336202267415917,6250.0,64.43298969072164,0.06443298969072164
48,98,0.0007475038710021892,6250.0,63.775510204081634,0.06377551020408163
49,96,0.0007385751654100631,6250.0,65.10416666666667,0.06510416666666667
50,96,0.000744307212802084,6250.0,65.10416666666667,0.06510416666666667
51,96,0.0007502930832356389,6250.0,65.10416666666667,0.06510416666666667
52,96,0.0007557210444694602,6250.0,65.10416666666667,0.06510416666666667
53,94,0.0007458304901851881,6250.0,66.48936170212765,0.06648936170212766
54,91,0.0007268602830761366,6250.0,68.68131868131869,0.06868131868131869
55,88,0.0007070828813627415,6250.0,71.02272727272728,0.07102272727272728
56,88,0.000711789827876278,6250.0,71.02272727272728,0.07102272727272728
57,88,0.0007156740755198803,6250.0,71.02272727272728,0.07102272727272728
58,87,0.000711953452974247,6250.0,71.83908045977012,0.07183908045977011
59,82,0.0006749304492402917,6250.0,76.21951219512195,0.07621951219512195
60,83,0.0006876382525703587,6250.0,75.30120481927712,0.07530120481927711
61,85,0.0007088236029920695,6250.0,73.52941176470588,0.07352941176470588
62,85,0.0007126926366273707,6250.0,73.52941176470588,0.07352941176470588
63,86,0.0007246010481438417,6250.0,72.67441860465117,0.07267441860465117
64,83,0.0007030204468838406,6250.0,75.30120481927712,0.07530120481927711
65,83,0.0007063889905446004,6250.0,75.30120481927712,0.07530120481927711
66,83,0.0007094562829619372,6250.0,75.30120481927712,0.07530120481927711
67,82,0.0007042495448143185,6250.0,76.21951219512195,0.07621951219512195
68,81,0.0006990472245236122,6250.0,77.1604938271605,0.07716049382716049
69,78,0.000676191136694639,6250.0,80.12820512820514,0.08012820512820513
70,77,0.0006707433927420338,6250.0,81.16883116883116,0.08116883116883117
71,77,0.000674273404730422,6250.0,81.16883116883116,0.08116883116883117
72,77,0.0006775485063135201,6250.0,81.16883116883116,0.08116883116883117
73,76,0.000671615411806292,6250.0,82.23684210526316,0.08223684210526316
74,76,0.0006743088334457181,6250.0,82.23684210526316,0.08223684210526316
75,75,0.0006681812107443538,6250.0,83.33333333333333,0.08333333333333333
76,75,0.0006707987871957927,6250.0,83.33333333333333,0.08333333333333333
77,74,0.000664535364057617,6250.0,84.45945945945945,0.08445945945945946
78,74,0.0006668468955573579,6250.0,84.45945945945945,0.08445945945945946
79,75,0.0006786654722154355,6250.0,83.33333333333333,0.08333333333333333
80,74,0.0006724094064623996,6250.0,84.45945945945945,0.08445945945945946
81,73,0.0006662346788840113,6250.0,85.61643835616438,0.08561643835616438
82,72,0.000659479560713337,6250.0,86.80555555555556,0.08680555555555555
83,72,0.0006615397337302572,6250.0,86.80555555555556,0.08680555555555555
84,69,0.0006361792365849161,6250.0,90.57971014492753,0.09057971014492754
85,71,0.0006567992599444958,6250.0,88.0281690140845,0.0880281690140845
86,71,0.0006593855640997066,6250.0,88.0281690140845,0.0880281690140845
87,70,0.0006521941675207305,6250.0,89.28571428571429,0.08928571428571429
88,70,0.0006544869757091834,6250.0,89.28571428571429,0.08928571428571429
89,69,0.0006473524224115285,6250.0,90.57971014492753,0.09057971014492754
90,69,0.000649332316987098,6250.0,90.57971014492753,0.09057971014492754
91,68,0.0006419515326592842,6250.0,91.91176470588236,0.09191176470588236
92,69,0.0006532977333409078,6250.0,90.57971014492753,0.09057971014492754
93,68,0.0006459948320413437,6250.0,91.91176470588236,0.09191176470588236
94,68,0.000647649888089909,6250.0,91.91176470588236,0.09191176470588236
95,69,0.0006590006112469438,6250.0,90.57971014492753,0.09057971014492754
96,70,0.0006703696609844858,6250.0,89.28571428571429,0.08928571428571429
97,71,0.0006816959827943774,6250.0,88.0281690140845,0.0880281690140845
98,70,0.0006741984262282451,6250.0,89.28571428571429,0.08928571428571429
99,69,0.0006664477369752931,6250.0,90.57971014492753,0.09057971014492754
100,69,0.0006683973961562306,6250.0,90.57971014492753,0.09057971014492754
101,70,0.000680239055439483,6250.0,89.28571428571429,0.08928571428571429
102,70,0.0006825872005148658,6250.0,89.28571428571429,0.08928571428571429
103,70,0.0006846434474731766,6250.0,89.28571428571429,0.08928571428571429
104,69,0.0006770812890057699,6250.0,90.57971014492753,0.09057971014492754
105,68,0.0006691727843492294,6250.0,91.91176470588236,0.09191176470588236
106,67,0.0006609450527769557,6250.0,93.28358208955224,0.09328358208955224
107,67,0.0006626249839288717,6250.0,93.28358208955224,0.09328358208955224
